,Methods,Protein length,tmscore
310,PVQD,70,0.33369
311,PVQD,70,0.32643
312,PVQD,70,0.34273
313,PVQD,70,0.36237
314,PVQD,70,0.32653
315,PVQD,70,0.3247
316,PVQD,70,0.24542
317,PVQD,70,0.38779
318,PVQD,70,0.30251
319,PVQD,70,0.33314
320,PVQD,70,0.31773
321,PVQD,70,0.31876
322,PVQD,70,0.39813
323,PVQD,70,0.25243
324,PVQD,70,0.38483
325,PVQD,70,0.20768
326,PVQD,70,0.47672
327,PVQD,70,0.30664
328,PVQD,70,0.34682
329,PVQD,70,0.3359
330,PVQD,70,0.34135
331,PVQD,70,0.33864
332,PVQD,70,0.38778
333,PVQD,70,0.33425
334,PVQD,70,0.31724
335,PVQD,70,0.28124
336,PVQD,70,0.35474
337,PVQD,70,0.35381
338,PVQD,70,0.23113
339,PVQD,70,0.25116
340,PVQD,70,0.34269
341,PVQD,70,0.34576
342,PVQD,70,0.31163
343,PVQD,70,0.39979
344,PVQD,70,0.32044
345,PVQD,70,0.30943
346,PVQD,70,0.27323
347,PVQD,70,0.20758
348,PVQD,70,0.29804
349,PVQD,70,0.25106
350,PVQD,70,0.28514
351,PVQD,70,0.50313
352,PVQD,70,0.25021
353,PVQD,70,0.2724
354,PVQD,70,0.29805
355,PVQD,70,0.30935
356,PVQD,70,0.3659
357,PVQD,70,0.37539
358,PVQD,70,0.31762
359,PVQD,70,0.20786
360,PVQD,70,0.20321
361,PVQD,70,0.36629
362,PVQD,70,0.38859
363,PVQD,70,0.33651
364,PVQD,70,0.31373
365,PVQD,70,0.2841
366,PVQD,70,0.31728
367,PVQD,70,0.27321
368,PVQD,70,0.31675
369,PVQD,70,0.28731
370,PVQD,70,0.3225
371,PVQD,70,0.33652
372,PVQD,70,0.31028
373,PVQD,70,0.29713
374,PVQD,70,0.32056
375,PVQD,70,0.25898
376,PVQD,70,0.28628
377,PVQD,70,0.3281
378,PVQD,70,0.35392
379,PVQD,70,0.4197
380,PVQD,70,0.20615
381,PVQD,70,0.29531
382,PVQD,70,0.35705
383,PVQD,70,0.29497
