,Methods,Protein length,scRMSD
0,PVQD,70,0.868
1,PVQD,70,11.385
2,PVQD,100,2.186
3,PVQD,70,3.208
4,PVQD,100,1.331
5,PVQD,200,12.569
6,PVQD,100,1.689
7,PVQD,400,9.711
8,PVQD,400,1.741
9,PVQD,70,1.321
10,PVQD,70,1.144
11,PVQD,400,3.146
12,PVQD,100,1.768
13,PVQD,100,3.585
14,PVQD,400,21.057
15,PVQD,100,1.695
16,PVQD,70,1.541
17,PVQD,100,3.406
18,PVQD,70,8.378
19,PVQD,200,4.233
20,PVQD,200,1.15
21,PVQD,200,4.614
22,PVQD,200,1.81
23,PVQD,100,1.158
24,PVQD,100,5.124
25,PVQD,200,6.814
26,PVQD,70,0.747
27,PVQD,400,4.86
28,PVQD,200,2.011
29,PVQD,400,3.187
30,PVQD,100,1.709
31,PVQD,400,1.887
32,PVQD,100,11.373
33,PVQD,400,1.588
34,PVQD,100,2.149
35,PVQD,400,10.463
36,PVQD,70,1.655
37,PVQD,200,1.365
38,PVQD,200,3.752
39,PVQD,100,1.006
40,PVQD,100,8.736
41,PVQD,200,2.547
42,PVQD,400,3.436
43,PVQD,200,1.856
44,PVQD,100,1.274
45,PVQD,70,0.912
46,PVQD,70,2.63
47,PVQD,100,4.071
48,PVQD,200,3.115
49,PVQD,200,15.931
50,PVQD,70,1.191
51,PVQD,100,3.61
52,PVQD,100,2.834
53,PVQD,400,16.944
54,PVQD,100,1.693
55,PVQD,400,6.47
56,PVQD,400,2.59
57,PVQD,400,9.743
58,PVQD,200,3.211
59,PVQD,100,0.923
60,PVQD,200,9.61
61,PVQD,100,1.786
62,PVQD,70,1.067
63,PVQD,200,0.76
64,PVQD,200,7.505
65,PVQD,100,2.052
66,PVQD,70,1.163
67,PVQD,400,10.043
68,PVQD,200,3.49
69,PVQD,70,0.967
70,PVQD,400,3.172
71,PVQD,200,4.644
72,PVQD,100,1.48
73,PVQD,70,2.119
74,PVQD,70,2.741
75,PVQD,400,16.147
76,PVQD,100,1.962
77,PVQD,200,2.286
78,PVQD,100,1.299
79,PVQD,70,14.901
80,PVQD,70,1.245
81,PVQD,70,2.355
82,PVQD,70,2.961
83,PVQD,70,1.088
84,PVQD,400,1.911
85,PVQD,400,11.304
86,PVQD,200,0.96
87,PVQD,100,2.982
88,PVQD,400,6.726
89,PVQD,100,2.884
90,PVQD,100,2.455
91,PVQD,200,3.349
92,PVQD,70,1.203
93,PVQD,100,1.54
94,PVQD,100,1.641
95,PVQD,200,11.142
96,PVQD,100,3.789
97,PVQD,400,1.475
98,PVQD,100,3.023
99,PVQD,400,2.649
100,PVQD,70,8.083
101,PVQD,400,4.495
102,PVQD,100,0.958
103,PVQD,70,1.258
104,PVQD,400,16.914
105,PVQD,70,2.151
106,PVQD,400,1.525
107,PVQD,400,19.13
108,PVQD,70,1.563
109,PVQD,400,2.055
110,PVQD,200,2.892
111,PVQD,100,2.39
112,PVQD,70,1.395
113,PVQD,100,1.38
114,PVQD,100,0.977
115,PVQD,100,1.393
116,PVQD,100,1.464
117,PVQD,100,2.121
118,PVQD,70,3.979
119,PVQD,70,0.661
120,PVQD,100,3.592
121,PVQD,70,1.211
122,PVQD,400,1.305
123,PVQD,400,1.797
124,PVQD,70,1.255
125,PVQD,400,33.176
126,PVQD,200,1.744
127,PVQD,100,1.471
128,PVQD,100,1.403
129,PVQD,200,3.876
130,PVQD,400,20.116
131,PVQD,400,1.361
132,PVQD,200,24.805
133,PVQD,100,1.048
134,PVQD,400,5.732
135,PVQD,70,0.993
136,PVQD,70,1.03
137,PVQD,70,1.241
138,PVQD,400,2.007
139,PVQD,70,24.648
140,PVQD,70,8.528
141,PVQD,100,1.46
142,PVQD,200,2.486
143,PVQD,100,1.511
144,PVQD,200,3.992
145,PVQD,70,2.388
146,PVQD,200,5.156
147,PVQD,70,1.151
148,PVQD,100,1.346
149,PVQD,400,2.822
150,PVQD,70,0.679
151,PVQD,70,1.217
152,PVQD,100,1.25
153,PVQD,200,6.319
154,PVQD,200,5.515
155,PVQD,100,0.591
156,PVQD,400,2.069
157,PVQD,200,3.543
158,PVQD,400,18.44
159,PVQD,200,7.329
160,PVQD,100,1.221
161,PVQD,200,8.771
162,PVQD,70,0.572
163,PVQD,100,1.287
164,PVQD,400,8.932
165,PVQD,70,1.545
166,PVQD,100,2.294
167,PVQD,400,1.097
168,PVQD,200,6.369
169,PVQD,70,0.934
170,PVQD,200,1.588
171,PVQD,100,3.157
172,PVQD,100,1.942
173,PVQD,400,1.582
174,PVQD,70,1.261
175,PVQD,400,3.284
176,PVQD,70,1.637
177,PVQD,400,2.231
178,PVQD,200,0.936
179,PVQD,100,1.497
180,PVQD,70,1.322
181,PVQD,100,3.995
182,PVQD,100,1.455
183,PVQD,400,1.812
184,PVQD,200,1.505
185,PVQD,100,2.123
186,PVQD,70,1.24
187,PVQD,100,4.985
188,PVQD,200,7.764
189,PVQD,100,4.093
190,PVQD,200,2.339
191,PVQD,200,3.689
192,PVQD,100,1.704
193,PVQD,70,7.705
194,PVQD,400,8.478
195,PVQD,200,3.568
196,PVQD,400,1.615
197,PVQD,70,1.635
198,PVQD,400,1.82
199,PVQD,200,2.947
200,PVQD,100,1.136
201,PVQD,200,5.407
202,PVQD,400,4.387
203,PVQD,100,1.009
204,PVQD,400,2.963
205,PVQD,100,11.817
206,PVQD,70,0.849
207,PVQD,100,2.227
208,PVQD,200,0.868
209,PVQD,70,0.759
210,PVQD,70,3.956
211,PVQD,400,1.975
212,PVQD,400,1.843
213,PVQD,100,10.31
214,PVQD,400,26.362
215,PVQD,70,1.672
216,PVQD,100,1.565
217,PVQD,400,9.666
218,PVQD,400,3.192
219,PVQD,400,1.527
220,PVQD,400,5.227
221,PVQD,70,1.574
222,PVQD,200,1.512
223,PVQD,70,2.853
224,PVQD,70,4.501
225,PVQD,100,1.026
226,PVQD,200,5.952
227,PVQD,400,1.19
228,PVQD,200,3.353
229,PVQD,400,5.632
230,PVQD,70,3.238
231,PVQD,70,0.689
232,PVQD,100,1.822
233,PVQD,200,13.608
234,PVQD,400,1.96
235,PVQD,200,1.953
236,PVQD,70,0.656
237,PVQD,200,12.756
238,PVQD,200,1.742
239,PVQD,70,1.316
240,PVQD,200,6.697
241,PVQD,100,3.618
242,PVQD,400,21.593
243,PVQD,400,8.352
244,PVQD,100,7.778
245,PVQD,70,4.995
246,PVQD,70,1.361
247,PVQD,400,3.589
248,PVQD,400,1.407
249,PVQD,400,5.436
250,PVQD,70,3.964
251,PVQD,200,3.318
252,PVQD,100,9.683
253,PVQD,200,6.458
254,PVQD,200,1.041
255,PVQD,200,3.808
256,PVQD,400,7.751
257,PVQD,400,2.562
258,PVQD,400,6.052
259,PVQD,100,1.609
260,PVQD,100,0.901
261,PVQD,70,1.207
262,PVQD,400,1.885
263,PVQD,100,1.217
264,PVQD,200,0.865
265,PVQD,100,2.251
266,PVQD,200,1.259
267,PVQD,70,1.208
268,PVQD,400,14.522
269,PVQD,200,6.265
270,PVQD,70,2.811
271,PVQD,200,11.538
272,PVQD,400,14.747
273,PVQD,100,4.388
274,PVQD,70,2.24
275,PVQD,70,7.488
276,PVQD,70,3.227
277,PVQD,100,3.296
278,PVQD,100,2.58
279,PVQD,200,3.838
280,PVQD,100,0.703
281,PVQD,100,1.108
282,PVQD,200,2.453
283,PVQD,400,4.852
284,PVQD,100,2.144
285,PVQD,400,3.924
286,PVQD,70,1.121
287,PVQD,70,2.523
288,PVQD,70,1.397
289,PVQD,100,4.598
290,PVQD,100,2.316
291,PVQD,100,1.188
292,PVQD,70,1.431
293,PVQD,200,7.191
294,PVQD,70,4.38
295,PVQD,70,1.24
296,PVQD,70,0.717
297,PVQD,200,2.667
298,PVQD,200,12.028
299,PVQD,70,6.308
300,PVQD,200,5.028
301,PVQD,70,7.016
302,PVQD,100,0.769
303,PVQD,100,3.003
304,PVQD,200,13.767
305,PVQD,70,0.949
306,PVQD,200,6.977
307,PVQD,200,1.433
308,PVQD,70,0.825
309,PVQD,200,10.107
310,PVQD,200,2.744
311,PVQD,200,4.243
312,PVQD,100,2.852
313,PVQD,100,3.659
314,PVQD,200,1.294
315,PVQD,200,2.788
316,PVQD,200,26.928
317,PVQD,400,2.81
318,PVQD,200,1.814
319,PVQD,200,6.516
320,PVQD,400,1.51
321,PVQD,100,1.138
322,PVQD,100,1.979
323,PVQD,200,2.449
324,PVQD,100,2.317
325,PVQD,200,6.48
326,PVQD,400,3.924
327,PVQD,400,2.787
328,PVQD,70,4.12
329,PVQD,70,8.895
330,PVQD,100,2.425
331,PVQD,200,2.201
332,PVQD,400,1.341
333,PVQD,400,6.717
334,PVQD,400,2.087
335,PVQD,70,1.306
336,PVQD,200,5.813
337,PVQD,400,29.557
338,PVQD,100,3.149
339,PVQD,200,1.001
340,PVQD,400,4.582
341,PVQD,400,1.291
342,PVQD,70,0.735
343,PVQD,400,18.673
344,PVQD,200,1.998
345,PVQD,200,15.288
346,PVQD,400,3.373
347,PVQD,100,2.202
348,PVQD,200,1.45
349,PVQD,70,0.896
350,PVQD,400,5.093
351,PVQD,400,3.81
352,PVQD,400,16.573
353,PVQD,400,19.461
354,PVQD,70,1.207
355,PVQD,200,1.056
356,PVQD,400,18.829
357,PVQD,100,2.049
358,PVQD,400,12.761
359,PVQD,200,3.882
360,PVQD,100,1.323
361,PVQD,70,1.897
362,PVQD,200,9.938
363,PVQD,200,3.125
364,PVQD,70,2.78
365,PVQD,200,6.26
366,PVQD,70,1.245
367,PVQD,70,25.016
368,PVQD,200,8.053
369,PVQD,70,1.457
370,PVQD,70,0.912
371,PVQD,400,13.171
372,PVQD,70,2.619
373,PVQD,70,1.699
374,PVQD,400,1.511
375,PVQD,100,1.246
376,PVQD,200,3.882
377,PVQD,70,1.641
378,PVQD,200,14.228
379,PVQD,200,18.328
380,PVQD,100,1.889
381,PVQD,400,18.471
382,PVQD,400,8.434
383,PVQD,200,1.779
384,PVQD,100,0.972
385,PVQD,200,14.885
386,PVQD,400,1.738
387,PVQD,400,7.456
388,PVQD,400,3.002
389,PVQD,400,1.791
390,PVQD,70,6.302
391,PVQD,70,2.245
392,PVQD,70,2.154
393,PVQD,100,1.969
394,PVQD,400,15.347
395,PVQD,400,13.739
396,PVQD,200,4.826
397,PVQD,200,2.102
398,PVQD,70,2.238
399,PVQD,400,1.821
400,PVQD+SCUBA-D,100,4.99
401,PVQD+SCUBA-D,400,4.237
402,PVQD+SCUBA-D,100,0.969
403,PVQD+SCUBA-D,70,1.629
404,PVQD+SCUBA-D,100,0.748
405,PVQD+SCUBA-D,70,0.364
406,PVQD+SCUBA-D,70,2.07
407,PVQD+SCUBA-D,100,1.238
408,PVQD+SCUBA-D,400,9.53
409,PVQD+SCUBA-D,400,3.539
410,PVQD+SCUBA-D,70,0.53
411,PVQD+SCUBA-D,200,1.247
412,PVQD+SCUBA-D,70,0.45
413,PVQD+SCUBA-D,100,0.589
414,PVQD+SCUBA-D,70,2.152
415,PVQD+SCUBA-D,70,0.592
416,PVQD+SCUBA-D,200,1.33
417,PVQD+SCUBA-D,400,6.22
418,PVQD+SCUBA-D,200,7.823
419,PVQD+SCUBA-D,200,6.835
420,PVQD+SCUBA-D,100,0.978
421,PVQD+SCUBA-D,70,4.498
422,PVQD+SCUBA-D,100,2.274
423,PVQD+SCUBA-D,70,1.839
424,PVQD+SCUBA-D,400,8.783
425,PVQD+SCUBA-D,100,0.571
426,PVQD+SCUBA-D,200,7.965
427,PVQD+SCUBA-D,200,8.144
428,PVQD+SCUBA-D,200,5.789
429,PVQD+SCUBA-D,200,11.784
430,PVQD+SCUBA-D,400,10.402
431,PVQD+SCUBA-D,200,4.06
432,PVQD+SCUBA-D,70,3.985
433,PVQD+SCUBA-D,400,2.513
434,PVQD+SCUBA-D,70,1.04
435,PVQD+SCUBA-D,200,1.083
436,PVQD+SCUBA-D,100,1.128
437,PVQD+SCUBA-D,400,4.887
438,PVQD+SCUBA-D,400,4.377
439,PVQD+SCUBA-D,100,0.976
440,PVQD+SCUBA-D,400,8.407
441,PVQD+SCUBA-D,200,11.76
442,PVQD+SCUBA-D,100,3.151
443,PVQD+SCUBA-D,70,4.944
444,PVQD+SCUBA-D,400,12.481
445,PVQD+SCUBA-D,400,20.569
446,PVQD+SCUBA-D,400,11.369
447,PVQD+SCUBA-D,200,7.588
448,PVQD+SCUBA-D,70,0.489
449,PVQD+SCUBA-D,70,1.744
450,PVQD+SCUBA-D,400,5.444
451,PVQD+SCUBA-D,400,3.611
452,PVQD+SCUBA-D,400,5.287
453,PVQD+SCUBA-D,200,0.841
454,PVQD+SCUBA-D,400,14.103
455,PVQD+SCUBA-D,200,4.672
456,PVQD+SCUBA-D,200,1.922
457,PVQD+SCUBA-D,400,11.67
458,PVQD+SCUBA-D,200,1.385
459,PVQD+SCUBA-D,100,1.094
460,PVQD+SCUBA-D,200,0.812
461,PVQD+SCUBA-D,200,6.999
462,PVQD+SCUBA-D,400,3.132
463,PVQD+SCUBA-D,400,19.308
464,PVQD+SCUBA-D,100,2.812
465,PVQD+SCUBA-D,400,5.735
466,PVQD+SCUBA-D,100,2.829
467,PVQD+SCUBA-D,200,7.762
468,PVQD+SCUBA-D,70,1.065
469,PVQD+SCUBA-D,100,1.58
470,PVQD+SCUBA-D,70,0.998
471,PVQD+SCUBA-D,200,3.151
472,PVQD+SCUBA-D,70,1.696
473,PVQD+SCUBA-D,400,2.212
474,PVQD+SCUBA-D,100,1.813
475,PVQD+SCUBA-D,200,0.887
476,PVQD+SCUBA-D,70,0.391
477,PVQD+SCUBA-D,200,7.97
478,PVQD+SCUBA-D,100,4.747
479,PVQD+SCUBA-D,200,0.519
480,PVQD+SCUBA-D,70,4.654
481,PVQD+SCUBA-D,70,1.639
482,PVQD+SCUBA-D,200,8.678
483,PVQD+SCUBA-D,70,0.585
484,PVQD+SCUBA-D,400,19.245
485,PVQD+SCUBA-D,200,0.887
486,PVQD+SCUBA-D,400,2.971
487,PVQD+SCUBA-D,100,0.946
488,PVQD+SCUBA-D,200,2.471
489,PVQD+SCUBA-D,400,4.424
490,PVQD+SCUBA-D,200,2.263
491,PVQD+SCUBA-D,400,3.438
492,PVQD+SCUBA-D,70,1.559
493,PVQD+SCUBA-D,100,1.621
494,PVQD+SCUBA-D,70,3.789
495,PVQD+SCUBA-D,400,4.864
496,PVQD+SCUBA-D,70,0.636
497,PVQD+SCUBA-D,200,1.663
498,PVQD+SCUBA-D,400,33.146
499,PVQD+SCUBA-D,200,4.676
500,PVQD+SCUBA-D,70,2.293
501,PVQD+SCUBA-D,400,8.158
502,PVQD+SCUBA-D,400,9.68
503,PVQD+SCUBA-D,400,5.848
504,PVQD+SCUBA-D,70,0.966
505,PVQD+SCUBA-D,70,1.1
506,PVQD+SCUBA-D,400,11.884
507,PVQD+SCUBA-D,200,1.863
508,PVQD+SCUBA-D,400,11.54
509,PVQD+SCUBA-D,400,7.905
510,PVQD+SCUBA-D,70,0.915
511,PVQD+SCUBA-D,200,2.652
512,PVQD+SCUBA-D,100,1.42
513,PVQD+SCUBA-D,200,6.174
514,PVQD+SCUBA-D,100,1.054
515,PVQD+SCUBA-D,400,2.964
516,PVQD+SCUBA-D,100,1.417
517,PVQD+SCUBA-D,70,0.43
518,PVQD+SCUBA-D,100,0.889
519,PVQD+SCUBA-D,100,1.173
520,PVQD+SCUBA-D,70,0.894
521,PVQD+SCUBA-D,70,3.828
522,PVQD+SCUBA-D,400,4.355
523,PVQD+SCUBA-D,400,5.412
524,PVQD+SCUBA-D,200,9.953
525,PVQD+SCUBA-D,400,5.877
526,PVQD+SCUBA-D,400,15.37
527,PVQD+SCUBA-D,400,6.684
528,PVQD+SCUBA-D,100,0.781
529,PVQD+SCUBA-D,400,5.528
530,PVQD+SCUBA-D,100,1.463
531,PVQD+SCUBA-D,100,4.224
532,PVQD+SCUBA-D,100,3.584
533,PVQD+SCUBA-D,400,33.083
534,PVQD+SCUBA-D,100,1.25
535,PVQD+SCUBA-D,200,1.124
536,PVQD+SCUBA-D,70,0.743
537,PVQD+SCUBA-D,100,0.784
538,PVQD+SCUBA-D,400,3.594
539,PVQD+SCUBA-D,100,0.634
540,PVQD+SCUBA-D,400,3.76
541,PVQD+SCUBA-D,70,1.232
542,PVQD+SCUBA-D,100,8.68
543,PVQD+SCUBA-D,100,0.984
544,PVQD+SCUBA-D,400,4.012
545,PVQD+SCUBA-D,70,0.51
546,PVQD+SCUBA-D,100,2.336
547,PVQD+SCUBA-D,400,19.054
548,PVQD+SCUBA-D,70,1.568
549,PVQD+SCUBA-D,200,5.737
550,PVQD+SCUBA-D,400,2.486
551,PVQD+SCUBA-D,100,1.334
552,PVQD+SCUBA-D,200,2.927
553,PVQD+SCUBA-D,100,0.883
554,PVQD+SCUBA-D,70,0.547
555,PVQD+SCUBA-D,400,6.783
556,PVQD+SCUBA-D,200,1.024
557,PVQD+SCUBA-D,400,6.164
558,PVQD+SCUBA-D,200,0.79
559,PVQD+SCUBA-D,400,4.895
560,PVQD+SCUBA-D,400,17.705
561,PVQD+SCUBA-D,200,0.811
562,PVQD+SCUBA-D,400,8.177
563,PVQD+SCUBA-D,200,0.729
564,PVQD+SCUBA-D,200,1.987
565,PVQD+SCUBA-D,70,1.157
566,PVQD+SCUBA-D,200,5.341
567,PVQD+SCUBA-D,70,1.121
568,PVQD+SCUBA-D,100,1.339
569,PVQD+SCUBA-D,200,15.565
570,PVQD+SCUBA-D,400,4.01
571,PVQD+SCUBA-D,400,16.75
572,PVQD+SCUBA-D,70,1.133
573,PVQD+SCUBA-D,100,6.066
